	0	1	2	3	4	5	6	7	8	9	10	11
312961										ʁəkɔ̃sɛdə,None		
312991										ʁəkɔ̃fedɛʁə,None		
312992										ʁəkɔ̃fɛʁə,None		
312995										ʁəkɔ̃glɔmɛʁə,None		
313027										ʁəkɔ̃sidɛʁə,None		
313107										ʁəkɔɔpɛʁə,None		
313146										ʁəkɔʁɛlə,None		
313334										ʁəkʁɛʃə,None		
313338										ʁəkʁɛmə,None		
313340										ʁəkʁenlɛlə,ʁəkʁenlɛl,None		
313449	ʁəkyʁət,ʁəkyʁt,None			ʁəkyʁət,ʁəkyʁt,None		ʁəkyʁət,ʁəkyʁt,None,ʁəkyʁət,ʁəkyʁt						
313452										ʁəkyvlɛlə,None,ʁəkyvlɛl		
313474										ʁəsɛdə,None		
313478										ʁəsɛlə,None		
313481										ʁəselɛbʁə,None		
313484										ʁəsɛpə,None		
313536										ʁədɛsɛʃə,None		
313576										ʁədifɛʁə,None		
313581										ʁədiʒɛʁə,None		
313639										ʁədisɛkə,None		
313661										ʁədjɛzə,None		
313789										ʁədeblatɛʁə,None		
313874										dekwɛ̃sə,None		
313894										ʁədekɔ̃sidɛʁə,None		
313924										ʁədekʁɛtə,None		
313930										ʁədesɛdə,None		
313931										ʁədeselɛʁə,None		
313932										ʁədeseʁɛbʁə,None		
313940										ʁədefaji,None		
313972										ʁədefɛkə,None		
313973										ʁədefɛʁə,None		
314012										ʁədeʒenɛʁə,None		
314030										ʁədelibɛʁə,None		
314042										ʁədelɛgə,None		
314100	ʁədepaʁtis,None			ʁədepaʁtis,None		ʁədepaʁtis,None,ʁədepaʁtis						
314141										ʁədepɔsɛdə,None		
314144										ʁədepusjɛʁə,None		
314150										ʁədepʁɔtɛʒ,ʁədepʁɔtɛʒə,None		
314173										ʁədeʁɛglə,None		
314182										ʁədezaltɛʁə,None		
314209										ʁədezɛspɛʁə,None		
314224										ʁədezɛ̃sɛʁə,None		
314226										ʁədezɛ̃tɛgʁə,None		
314507										ʁəflɛʃə,None		
314509										ʁəflɛtə,None		
314602	ʁəfʁaʒ,None			ʁəfʁaʒ,None								
314664										ʁəfʁɛnə,None		
314666										ʁəfʁɛtə,None		
314698										ʁəfedɛʁə,None		
314715	ʁagajaʁdis,None			ʁagajaʁdis,None		ʁagajaʁdis,ʁagajaʁdis,None				ʁagajaʁdi,None		
314722	ʁəgalɔʃ,None			ʁəgalɔʃ,None								
314726										ʁəgalɛʁə,None		
315032										ʁəʒenɛʁə,None		
315037										ʁəʒɛʁə,None		
