	0	1	2	3	4	5	6	7	8	9	10	11
123616	bilbɔkət,bilbɔkt			bilbɔkət,bilbɔkt		bilbɔkət,bilbɔkt		bilbɔkət,bilbɔkt		bilbɔklɛtə,bilbɔkɛt,bilbɔkɛtə,bilbɔklɛt	bilbɔkəta,bilbɔkta	bilbɔkəte,bilbɔkte
123692										bijə,bij		
123698	bijt,bijət		,bijɛt	bijt,bijət		bijt,bijət	,bijɛt	bijt,bijət		bijɛt,bijɛtə,bijlɛtə,bijlɛt	bijta,bijəta	bijəte,bijte
124396	bikt,bikət			bikt,bikət		bikt,bikət		bikt,bikət		biklɛtə,bikɛt,biklɛt,bikɛtə	bikəta,bikta	bikəte,bikte
124498										bizajə,bizaj		
124650										bizujə,bizuj		
124754										bistujə,bistuj		
124785										bistʁujə,bistʁuj		
124980										bizujə,bizuj		
125842										blɔgujə,blɔguj		
126508										bwaʁaj,bwaʁajə		
126512										bwaʁllɛtə,bwaʁlɛtə		
126778										bwatɑjə,bwatɑj		
126787		,bwat										
126795										bwatij,bwatijə		
127055										bɔ̃bijə,bɔ̃bij		
127454	bɔnt,bɔnət			bɔnt,bɔnət		bɔnt,bɔnət		bɔnt,bɔnət		bɔnlɛtə,bɔnɛt,bɔnlɛt,bɔnɛtə	bɔnəta,bɔnta	bɔnəte,bɔnte
127724										bɔʁdajə,bɔʁdaj		
127730		bɔʁdɛj,bɔʁdɛ	bɔʁdɛj,bɔʁdɛ		bɔʁdɛj,bɔʁdɛ		bɔʁdɛj,bɔʁdɛ			bɔʁdejə,bɔʁde,bɔʁdej		
128146	bɔsəl,bɔsl			bɔsəl,bɔsl		bɔsəl,bɔsl		bɔsəl,bɔsl		bɔsɛlə,bɔslɛl,bɔslɛlə,bɔsɛl	bɔsla,bɔsəla	bɔsəle,bɔsle
128331	bɔtl,bɔtəl			bɔtl,bɔtəl		bɔtl,bɔtəl		bɔtl,bɔtəl		bɔtɛl,bɔtlɛl,bɔtɛlə,bɔtlɛlə	bɔtla,bɔtəla	bɔtəle,bɔtle
128678	bw,bu			bw,bu		bw,bu					bwa,bua	bwe,bue
128953										bujə,buj		
129904	buʁəl,buʁl			buʁəl,buʁl		buʁəl,buʁl		buʁəl,buʁl		buʁɛlə,buʁlɛl,buʁɛl,buʁlɛlə	buʁla,buʁəla	buʁle,buʁəle
130023										buʁsijə,buʁsij		
130103										buzij,buzijə		
130179										bustifaj,bustifajə		
130242										bytej,bytejə		
130403	buvt,buvət			buvt,buvət		buvt,buvət		buvt,buvət		buvɛtə,buvɛt,buvlɛtə,buvlɛt	buvəta,buvta	buvte,buvəte
130978	bʁaj,bʁɑj	bʁaj,bʁɑj	bʁaj,bʁɑj	bʁaj,bʁɑj	bʁaj,bʁɑj	bʁaj,bʁɑj	bʁaj,bʁɑj	bʁaj,bʁɑj		bʁɑjə,bʁaj,bʁajə,bʁɑj	bʁɑja,bʁaja	bʁɑje,bʁaje
131117										bʁãʃujə,bʁãʃuj		
131154										bʁãdij,bʁãdijə		
131189										bʁãduj,bʁãdujə		
131336										bʁazijə,bʁazij		
131389	bʁasɛj,bʁasej			bʁasɛj,bʁasej		bʁasɛj,bʁasej		bʁasɛj,bʁasej		bʁasejə,bʁasej,bʁasɛjə,bʁasɛj	bʁaseja,bʁasɛja	bʁasɛje,bʁaseje
131415										bʁasɛj,bʁasɛjə		
131503		bʁɛj,bʁɛ	bʁɛj,bʁɛ		bʁɛj,bʁɛ		bʁɛj,bʁɛ			bʁej,bʁe,bʁejə		
131596										bʁədujə,bʁəduj		
131905	bʁɛtəl,bʁɛtl			bʁɛtəl,bʁɛtl		bʁɛtəl,bʁɛtl		bʁɛtəl,bʁɛtl		bʁɛtɛl,bʁɛtlɛlə,bʁɛtɛlə,bʁɛtlɛl	bʁɛtla,bʁɛtəla	bʁɛtəle,bʁɛtle
131964										bʁœj,bʁœjə		
132022	bʁəvət,bʁəvt			bʁəvət,bʁəvt		bʁəvət,bʁəvt		bʁəvət,bʁəvt		bʁəvlɛt,bʁəvɛtə,bʁəvɛt,bʁəvlɛtə	bʁəvta,bʁəvəta	bʁəvte,bʁəvəte
132356										bʁijə,bʁij		
132569	bʁikət,bʁikt			bʁikət,bʁikt		bʁikət,bʁikt		bʁikət,bʁikt		bʁiklɛtə,bʁiklɛt,bʁikɛt,bʁikɛtə	bʁikta,bʁikəta	bʁikte,bʁikəte
132786	bʁɔʃət,bʁɔʃt			bʁɔʃət,bʁɔʃt		bʁɔʃət,bʁɔʃt		bʁɔʃət,bʁɔʃt		bʁɔʃɛt,bʁɔʃlɛtə,bʁɔʃlɛt,bʁɔʃɛtə	bʁɔʃta,bʁɔʃəta	bʁɔʃəte,bʁɔʃte
132832	bʁubll,bʁubləl	,bʁublɛl	,bʁublɛl	bʁubll,bʁubləl	,bʁublɛl	bʁubll,bʁubll,bʁubləl,bʁubləl	,bʁublɛl	,bʁubləl		bʁubllɛl,bʁubllɛlə	,bʁublla,bʁubləla	,bʁublle,bʁubləle
