	lid	cstr	phon_affix
490	l286076	Xculier	paʁ.ti.ky.lje
491	l371309	Xinière	vɛʁ.mi.njɛʁ
492	l339094	Xillère	sɛʁ.pi.jɛʁ
493	l233005	Xetière	ʒaʁ.tjɛʁ
494	l310547	Xeau	ʁa.mo
495	l190811	Xol	ɛs.pa.ɲɔl
496	l181027	Xace	de.di.kas
497	l384182	eXion	e.lɛk.sjɔ̃
498	l185926	eX	e.fʁak.sjɔ̃
499	l147592	Xoine	ʃa.nwan
500	l364311	Xcule	ty.bɛʁ.kyl
501	l195027	Xoche	fas.tɔʃ
502	l362570	Xple	tʁipl
503	l327435	Xuble	ʁe.zɔ.lybl
504	l227082	inXaison	ɛ̃.kli.nɛ.zɔ̃
505	l99223	Xatiser	a.na.gʁa.ma.ti.zɛ
506	l211236	Xical	ɡʁa.ma.ti.kal
507	l269847	métaX	me.ta.mɔʁ.fik
508	l267885	myélX	mje.lit
509	l274616	nosoX	nɔ.zɔ.gʁa.fi
510	l276772	névrX	ne.vʁal.ʒi
511	l307688	quadriXé	kwad.ʁi.lɔ.be
512	l301954	protoXicat	pʁɔ.tɔ.me.di.ka
513	l207857	Xolette	ʒi.gɔ.lɛt|ʒi.go.lɛt
514	l153563	Xassien	siʁ.ka.sjɛ̃
515	l380780	Xérien	zɔs.te.ʁjɛ̃
516	l138374	Xinien	ka.li.si.njɛ̃
517	l355070	Xive	tã.ta.tiv
