Phoneme	Affix	rid
dezaʁʒãtasjɔ̃	jɔ	r27440
dezaʁʒãtasjɔ̃	jɔ	r27442
dezaʁʒãtasjɔ̃	jɔ	r27444
dezaʁʒãtasjɔ̃	jɔ	r112148
aʁʒãtasjɔ̃	jɔ	r10060
dezaʁʒãtasjɔ̃	jɔ	r27430
aʁʒɑ̃tjɛʁ	ije	r185766
aʁʒɑ̃tjɛʁ	ije	r185766
aʁgymãtasjɔ̃	jɔ	r10101
aʁgymãtasjɔ̃	jɔ	r10101
aʁgymãtasjɔ̃	jɔ	r10104
aʁgymãtasjɔ̃	jɔ	r10104
aʁgymãtasjɔ̃	jɔ	r10110
aʁgymãtasjɔ̃	jɔ	r10110
aʁgymãtasjɔ̃	jɔ	r10112
aʁgymãtasjɔ̃	jɔ	r10112
aʁgymãtasjɔ̃	jɔ	r10114
aʁgymãtasjɔ̃	jɔ	r10114
aʁɛstasjɔ̃	jɔ	r221894
aʁɛstasjɔ̃	jɔ	r221894
aʁɛstasjɔ̃	jɔ	r221896
aʁɛstasjɔ̃	jɔ	r221896
asãsjɔ̃	jɔ	r10397
asãsjɔ̃	jɔ	r10397
asãsjɔ̃	jɔ	r10398
asãsjɔ̃	jɔ	r10398
asãsjɔ̃	jɔ	r10400
asãsjɔ̃	jɔ	r10400
asiɲasjɔ̃	jɔ	r10620
asiɲasjɔ̃	jɔ	r10620
asiɲasjɔ̃	jɔ	r10622
asiɲasjɔ̃	jɔ	r10622
asiɲasjɔ̃	jɔ	r81418
asiɲasjɔ̃	jɔ	r81418
asiɲasjɔ̃	jɔ	r116466
asiɲasjɔ̃	jɔ	r116466
siɲifikasjɔ̃	jɔ	r67190
siɲifikasjɔ̃	jɔ	r67190
siɲifikasjɔ̃	jɔ	r67192
siɲifikasjɔ̃	jɔ	r67192
siɲifikasjɔ̃	jɔ	r67194
siɲifikasjɔ̃	jɔ	r67194
siɲifikasjɔ̃	jɔ	r67183
siɲifikasjɔ̃	jɔ	r67183
siɲifikasjɔ̃	jɔ	r91417
siɲifikasjɔ̃	jɔ	r91417
siɲifi	ifjɛ	r113154
siɲifi	ifjɛ	r113154
siɲifi	ifjɛ	r113154
siɲifi	ifjɛ	r113154
siɲifi	ifjɛ	r113154
siɲifi	ifjɛ	r113154
ɛ̃siɲifjã	i	r115480
ɛ̃siɲifjãt	i	r115480
ɛ̃siɲifjãt	i	r115480
ɛ̃siɲifjã	i	r115480
astʁiksjɔ̃	jɔ	r222006
astʁiksjɔ̃	jɔ	r222006
astʁiksjɔ̃	jɔ	r10819
astʁiksjɔ̃	jɔ	r10819
atãsjɔ̃	jɔ	r90835
atãsjɔ̃	jɔ	r90835
atãsjɔ̃	jɔ	r113901
atãsjɔ̃	jɔ	r113901
inatãsjɔ̃	jɔ	r114721
inatãsjɔ̃	jɔ	r114721
atʁibysjɔ̃	jɔ	r11076
atʁibysjɔ̃	jɔ	r11076
atʁibysjɔ̃	jɔ	r11078
atʁibysjɔ̃	jɔ	r11078
atʁibysjɔ̃	jɔ	r11080
atʁibysjɔ̃	jɔ	r11080
atʁibysjɔ̃	jɔ	r11075
atʁibysjɔ̃	jɔ	r11075
odisjɔ̃	jɔ	r11102
odisjɔ̃	jɔ	r11102
odisjɔ̃	jɔ	r91511
odisjɔ̃	jɔ	r91511
ogmãtasjɔ̃	jɔ	r11130
ɔgmãtasjɔ̃	jɔ	r11130
ogmãtasjɔ̃	jɔ	r11130
ɔgmãtasjɔ̃	jɔ	r11130
ogmãtasjɔ̃	jɔ	r11132
ɔgmãtasjɔ̃	jɔ	r11132
ogmãtasjɔ̃	jɔ	r11132
ɔgmãtasjɔ̃	jɔ	r11132
ogmãtasjɔ̃	jɔ	r11134
ɔgmãtasjɔ̃	jɔ	r11134
ogmãtasjɔ̃	jɔ	r11134
ɔgmãtasjɔ̃	jɔ	r11134
ogmãtasjɔ̃	jɔ	r11117
ɔgmãtasjɔ̃	jɔ	r11117
ogmãtasjɔ̃	jɔ	r11117
ɔgmãtasjɔ̃	jɔ	r11117
ogmãtasjɔ̃	jɔ	r11113
ɔgmãtasjɔ̃	jɔ	r11113
ogmãtasjɔ̃	jɔ	r11113
ɔgmãtasjɔ̃	jɔ	r11113
ɔɡyʁo	al	r83064
omonjɛʁ	ije	r185746
omonjɛʁ	ije	r185746
avɑ̃taʒø	øz	r87526
avɑ̃taʒø	øz	r87526
avɑ̃taʒø	øz	r87794
avɑ̃taʒø	øz	r87794
dezavɑ̃taʒø	øz	r88668
dezavɑ̃taʒø	øz	r88668
dezavɑ̃taʒø	øz	r112196
dezavɑ̃taʒø	øz	r112196
avɑ̃tyʁø	øz	r87922
avɑ̃tyʁø	øz	r87922
avɑ̃tyʁjɛʁ	ije	r90274
avɑ̃tyʁjɛʁ	ije	r90274
avɑ̃tyʁjɛʁ	ije	r184878
avɑ̃tyʁjɛʁ	ije	r184878
aksjo	al	r82988
azimyto	al	r82990
azyʁeɛ̃	eɛ	r129848
azyʁeɛ̃n	eɛ	r129848
azyʁeɛ̃n	eɛ	r129848
azyʁeɛ̃	eɛ	r129848
babijaʁd	aʁ	r85178
babijaʁd	aʁ	r85178
baɡaʁøz	œʁ	r86982
baɡaʁøz	œʁ	r86982
	ije	r185762
	ije	r185728
balneasjɔ̃	jɔ	r219826
balneasjɔ̃	jɔ	r219826
balneasjɔ̃	jɔ	r220690
balneasjɔ̃	jɔ	r220690
baladøz	œʁ	r87010
baladøz	œʁ	r87010
banəʁe	ɛ	r122506
banəʁe	ɛ	r122506
banəʁe	ɛ	r122508
banəʁe	ɛ	r122508
bãdɛzɔ̃	ɛzɔ	r11998
bãdɛzɔ̃	ɛzɔ	r11998
baʃəljɛʁ	ije	r217474
baʃəljɛʁ	ije	r217474
baʃəljɛʁ	ije	r217384
baʃəljɛʁ	ije	r217384
baʁatinøz	œʁ	r87026
baʁatinøz	œʁ	r87026
bazo	al	r83154
batajøz	œʁ	r86946
batajøz	œʁ	r86946
batɛzɔ̃	ɛzɔ	r12450
batɛzɔ̃	ɛzɔ	r12450
bavaʁd	aʁ	r85028
bavaʁd	aʁ	r85028
